EmployeeID,AvgWorkingHours,StdWorkingHours,TotalHours,DaysWorked,OvertimeDays,TotalOvertimeHours,AvgOvertimePerDay
1,7.373650622605364,0.28322436713023436,1710.6869444444444,232,0,0.0,0.0
2,7.718968926553672,0.313350907412726,1821.6766666666667,236,42,6.522777777777778,0.02763888888888889
3,7.013240358126722,0.3115511391897781,1697.2041666666667,242,0,0.0,0.0
4,7.193678486997636,0.28413283284487706,1690.5144444444445,235,0,0.0,0.0
5,8.006174603174603,0.3006564200435073,1961.5127777777777,245,115,31.053333333333327,0.12674829931972786
6,10.796095874355368,0.3062780195272168,2558.674722222222,237,237,662.6747222222223,2.7960958743553683
7,6.923570402298851,0.32461158973280657,1606.2683333333334,232,1,0.09222222222222243,0.0003975095785440622
8,6.725620713305898,0.27854805942660005,1634.3258333333333,243,0,0.0,0.0
9,7.236498792270532,0.31069952510621124,1664.3947222222223,230,1,0.029166666666666785,0.00012681159420289907
10,7.080087844254511,0.2904905463580698,1656.7405555555556,234,0,0.0,0.0
11,8.403485477178423,0.3083233939115998,2025.24,241,222,101.07722222222223,0.41940756108805904
12,7.06895458736745,0.30973383319804865,1703.6180555555557,241,0,0.0,0.0
13,9.301409509946627,0.2888632383707682,2130.0227777777777,229,229,298.0227777777778,1.3014095099466279
14,9.399931442080378,0.29226652785680335,2208.983888888889,235,235,328.9838888888889,1.3999314420803783
15,6.089687644075611,0.28975386569140865,1467.6147222222223,241,0,0.0,0.0
16,6.705174636661979,0.3172596432739161,1589.1263888888889,237,0,0.0,0.0
17,6.619040626529613,0.31396253642597743,1502.5222222222221,227,0,0.0,0.0
18,11.014328139114726,0.3096964342975209,2709.5247222222224,246,246,741.5247222222222,3.0143281391147245
19,6.960253831417624,0.314945915821745,1614.7788888888888,232,0,0.0,0.0
20,9.293555796055795,0.2963884015180492,2146.811388888889,231,231,298.81138888888887,1.293555796055796
21,7.590778256704981,0.317876322859857,1761.0605555555555,232,27,3.9122222222222245,0.016863026819923382
22,6.008613495469718,0.293009267321181,1400.0069444444443,233,0,0.0,0.0
23,8.402108477011494,0.3029886705353011,1949.2891666666667,232,210,96.11194444444443,0.41427562260536394
24,6.8070052800734615,0.31558692057249155,1647.2952777777778,242,0,0.0,0.0
25,7.093167388167388,0.32198743609614844,1638.5216666666668,231,1,0.04944444444444507,0.00021404521404521675
26,9.362002074688796,0.2812382254202835,2256.2425,241,241,328.2425,1.3620020746887966
27,10.977123430962342,0.29663324125421053,2623.5325,239,239,711.5325,2.9771234309623433
28,7.604444444444445,0.29583577896635016,1794.648888888889,236,22,2.9936111111111074,0.012684792843691133
29,10.97758573388203,0.31182146099505686,2667.5533333333333,243,243,723.5533333333333,2.97758573388203
30,6.8312753623188405,0.2816235668075111,1571.1933333333334,230,0,0.0,0.0
31,10.10940826330532,0.3076482089710234,2406.0391666666665,238,238,502.0391666666667,2.109408263305322
32,6.709665977961433,0.2999596428160107,1623.7391666666667,242,0,0.0,0.0
33,10.518214624881292,0.2988444964494485,2461.262222222222,234,234,589.2622222222222,2.5182146248812916
34,6.182887517146776,0.2776026790150543,1502.4416666666666,243,0,0.0,0.0
35,6.586388888888889,0.2984167125865238,1580.7333333333333,240,0,0.0,0.0
36,10.272241379310344,0.30351823691183893,2383.16,232,232,527.16,2.2722413793103446
37,9.982733011937558,0.28585167345253143,2415.821388888889,242,242,479.82138888888886,1.9827330119375572
38,5.979567632850242,0.29721337326768577,1375.3005555555555,230,0,0.0,0.0
39,6.775967939304944,0.2921177931173167,1538.1447222222223,227,0,0.0,0.0
40,7.690160390516039,0.3056256998247583,1837.9483333333333,239,34,4.537222222222221,0.018984193398419336
41,7.204732468123861,0.28454492995089237,1757.9547222222222,244,0,0.0,0.0
42,7.594769503546099,0.3051429956720003,1784.7708333333333,235,26,3.5691666666666695,0.015187943262411359
43,6.952642332415059,0.31785501531734117,1682.5394444444444,242,0,0.0,0.0
44,7.008878472222222,0.3149531071288213,1682.1308333333334,240,0,0.0,0.0
45,7.201573315118398,0.2958945645712391,1757.183888888889,244,1,0.04111111111111043,0.0001684881602914362
46,7.172875,0.30817033367282526,1721.49,240,2,0.03805555555555529,0.0001585648148148137
47,7.636801418439716,0.3116720861036216,1794.6483333333333,235,28,5.102499999999997,0.021712765957446797
